Reference Number,Origin City,Origin State,Origin Zip,Origin Country,Destination City,Destination State,Destination Zip,Destination Country,Pickup Date,Freight Class,Weight,Hazardous,Scac,Contract ID,Contract Name,Carrier,Transit Time,Carrier Charge,Distance,Error
MER2990228,Thousand Oaks,CA,91320,USA,Bensenville,IL,60106,USA,9/1/2011,150,427,FALSE,,(866420427,3023,0),Cost Lakeville,Lakeville Motor Express,1,62.75,0,
MG2992664,Garden Grove,CA,92841,USA,Bloomingdale,IL,60108,USA,9/1/2011,70,549,FALSE,,(866420427,3023,0),Cost Lakeville,Lakeville Motor Express,1,62.75,0,
HAR2992109,UPLAND,CA,91786,USA,Greenwood,DE,19950,USA,9/1/2011,60,250,FALSE,,(3064276734,3023,0),Cost Vitran NEW,Vitran,2,69.03,0,
MCL2992404,Costa Mesa,CA,92627,USA,White House,TN,37188,USA,9/1/2011,250,124,FALSE,,(3064276734,3023,0),Cost Vitran NEW,Vitran,1,95.09,0,
SAC2992615,Camarillo,CA,93012,USA,Grapevine,TX,76051,USA,9/1/2011,125,698,FALSE,,(1265062463,3023,0),Cost Xpress Global Systems,Xpress Global,1,181.77,0,
SFW2889147,Valencia,CA,91355,USA,MASPETH,NY,11378,USA,9/1/2011,85,1484,FALSE,,(4397502368,3023,0),Cost Estes NEW,Estes Express Lines,2,513.19,0,
DEN2995100,Riverside,CA,92503,USA,Haslet,TX,76052,USA,9/1/2011,55,500,FALSE,,(3958957240,3023,0),Cost SAIA NEW,SAIA,1,101.09,0,
KAS2992043,South El Monte,CA,91733,USA,SAN ANTONIO,TX,78261,USA,9/1/2011,60,247,FALSE,,(466914120,3023,0),Cost Southwestern Motor Transport,Southwestern Motor Transport,1,63.75,0,
NSH2985296,WHITTIER,CA,90601,USA,SMYRNA,GA,30082,USA,9/1/2011,0,1171,FALSE,,,,,0,0,0,Rating process completed without errors, but returned zero results.
MER2986921,Pico rivera,CA,90660,USA,NORCROSS,GA,30093,USA,9/1/2011,175,800,FALSE,,(2198427542,3023,0),Cost DTI,Drug Transport LTL,1,312.98,0,
LAS2987088,Rancho Santa Margarita,CA,92688,USA,Hueytown,AL,35023,USA,9/1/2011,85,2970,FALSE,,(2198427542,3023,0),Cost DTI,Drug Transport LTL,1,1369.27,0,
SGA2987384,CARSON,CA,90745,USA,WINTERVILLE,NC,28590,USA,9/1/2011,85,320,FALSE,,(3958957240,3023,0),Cost SAIA NEW,SAIA,1,147.84,0,
POR2987723,COMPTON,CA,90220,USA,Lewisville,TX,75057,USA,9/1/2011,70,992,FALSE,,(2782672995,3023,0),Cost Beaver Express,Beaver Express,1,215.77,0,
SBC2987895,MOORPARK,CA,93021,USA,CORSICANA,TX,75110,USA,9/1/2011,125,314,FALSE,,(1265062463,3023,0),Cost Xpress Global Systems,Xpress Global,1,194.44,0,
SBC2987937,MOORPARK,CA,93021,USA,MEDINA,OH,44256,USA,9/1/2011,150,254,FALSE,,(3958957240,3023,0),Cost SAIA NEW,SAIA,1,294.96,0,
SGA2988405,El Cajon,CA,92020,USA,Newark,NJ,07103,USA,9/1/2011,150,225,FALSE,,(3056429246,3023,0),Cost Land Air Express,Land Air Express,1,293.36,0,
SBC2989188,Santa Ana,CA,92705,USA,BURLINGTON,VT,05406,USA,9/1/2011,250,600,FALSE,,(3056429246,3023,0),Cost Land Air Express,Land Air Express,1,578.17,0,
KAS2989223,San Bernardino,CA,92408,USA,Lexington,KY,40513,USA,9/1/2011,65,150,FALSE,,(3958957240,3023,0),Cost SAIA NEW,SAIA,1,96.19,0,
LBC2989282,WHITTIER,CA,90601,USA,CHELMSFORD,MA,01824,USA,9/1/2011,70,1100,FALSE,,(466908627,3023,0),Cost UPS Freight US,UPS Freight,1,1148.62,0,
KAS2989291,Ontario,CA,91761,USA,DAYTON,IN,47941,USA,9/1/2011,150,1100,FALSE,,(597875020,3023,0),Cost Dohrn,Dohrn,1,1607.66,0,
SBC2989510,Santa Ana,CA,92705,USA,TERRELL,TX,75160,USA,9/1/2011,250,300,FALSE,,(473063588,3023,0),Cost Central Freight Lines,Central Freight Lines,1,529.28,0,
LBC2989527,Brea,CA,92821,USA,CARLSTADT,NJ,07072,USA,9/1/2011,92.5,1670,FALSE,,(466908627,3023,0),Cost UPS Freight US,UPS Freight,1,2132.89,0,
LBC2989538,Long Beach,CA,90813,USA,FORT LAUDERDALE,FL,33316,USA,9/1/2011,60,604,FALSE,,(3114690270,3023,0),Cost Benton Express,Benton Express,1,303.23,0,
KAS2989544,Vista,CA,92081,USA,Columbus,OH,43219,USA,9/1/2011,92.5,689,FALSE,,(3064276734,3023,0),Cost Vitran NEW,Vitran,1,630.46,0,
KAS2989638,Redlands,CA,92374,USA,WEATHERFORD,TX,76086,USA,9/1/2011,200,295,FALSE,,(466914120,3023,0),Cost Southwestern Motor Transport,Southwestern Motor Transport,3,374.5,0,
KAS2989848,Huntington Beach,CA,92647,USA,Queens Village,NY,11427,USA,9/1/2011,200,250,FALSE,,(4397502368,3023,0),Cost Estes NEW,Estes Express Lines,1,909.22,0,
SSI2989852,Commerce,CA,90040,USA,Reedsville,PA,17084,USA,9/1/2011,70,500,FALSE,,(3064276734,3023,0),Cost Vitran NEW,Vitran,2,485.61,0,
SNOQ5392701,Riverside,CA,92507,USA,Suwanee,GA,30024,USA,9/1/2011,150,123,FALSE,,(2198427542,3023,0),Cost DTI,Drug Transport LTL,1,125.81,0,
KAS2989884,Industry,CA,91748,USA,SCHUYLER,NE,68661,USA,9/1/2011,70,1262,FALSE,,(866420427,3023,0),Cost Lakeville,Lakeville Motor Express,3,1661.62,0,
